term,neighbor,cosine
space,nasa,0.3304220949572683
space,seds,0.29664333833100454
space,shuttle,0.29284482622528324
space,enfant,0.2802695315319064
space,seti,0.24649360843507817
graphics,comp,0.2575688868332871
graphics,grieggs,0.202647023284772
graphics,3d,0.1973205380967198
graphics,cfd,0.1944820634941295
graphics,discused,0.19442638638066093
hockey,ncaa,0.2742813641779748
hockey,nhl,0.2652556525793872
hockey,affiliates,0.24796636642669795
hockey,xenophobes,0.2425667272476028
hockey,sportschannel,0.22281945297261863
windows,dos,0.3037048271255976
windows,ms,0.23204717301054048
windows,microsoft,0.22193665896525663
windows,nt,0.2140152182013542
windows,for,0.192975824156645
god,jesus,0.26878884770685035
god,bible,0.2616153851996155
god,that,0.2560319560385339
god,existence,0.2547707517690119
god,christ,0.2510527028533356
